ParametrosId	NomeParametro	DescricaoParametro	ValorParametro	TipoPlanilhaId
28	body_email_sucesso_leitura		Prezado(a), &lt;P&gt;seu pedido enviado no arquivo: &lt;i&gt;&lt;b&gt;{0}&lt;/b&gt;&lt;/i&gt; foi processado com sucesso e geramos o aviso de sinistro número: &lt;i&gt;&lt;b&gt;{1}&lt;/b&gt;&lt;/i&gt;.&lt;p&gt;Atenciosamente,&lt;br&gt;&lt;b&gt;Markel Seguros&lt;/b&gt;	2
29	subject_email_sucesso_leitura		Aviso de Sinistro enviado no arquivo '{0}' processado com sucesso.	2
30	body_email_erro_leitura		Prezado(a), &lt;P&gt;seu pedido enviado no arquivo: &lt;i&gt;&lt;b&gt;{0}&lt;/b&gt;&lt;/i&gt; não foi processado . Motivo : &lt;i&gt;&lt;b&gt;{1}&lt;/b&gt;&lt;/i&gt;.&lt;p&gt;Atenciosamente,&lt;br&gt;&lt;b&gt;Markel Seguros&lt;/b&gt;	2
31	subject_email_erro_leitura		Aviso de Sinistro enviado no arquivo '{0}' não foi processado.	2
32	lista_destinatarios_cc	 <!--Esses emails serão enviados somente quando houver comunicação com o Cliente. Ou seja, a cópia do email do Cliente-->	destinatario1cc@mailinator.com	1
33	lista_destinatarios_bc	 <!--Esses emails serão enviados somente quando houver comunicação com o Cliente. Ou seja, a cópia do email do Cliente-->	destinatario1bc@mailinator.com|destinatario2bc@mailinator.com	1
34	replyTo_job	<!--Emails que receberão as comunicações de Falha do Job-->	replyto_job@mailinator.com	1
35	lista_destinatarios_cc_job	<!--Emails que receberão as comunicações de Falha do Job-->	falhaJobCC1@mailinator.com|falhaJobCC2@mailinator.com|falhaJobCC3@mailinator.com	1
36	lista_destinatarios_bc_job	<!--Emails que receberão as comunicações de Falha do Job-->	falhaJobBC1@mailinator.com|falhaJobBC2@mailinator.com	1
37	lista_destinatarios_cc	 <!--Esses emails serão enviados somente quando houver comunicação com o Cliente. Ou seja, a cópia do email do Cliente-->	destinatario1cc@mailinator.com	2
38	lista_destinatarios_bc	 <!--Esses emails serão enviados somente quando houver comunicação com o Cliente. Ou seja, a cópia do email do Cliente-->	destinatario1bc@mailinator.com|destinatario2bc@mailinator.com	2
39	replyTo_job	<!--Emails que receberão as comunicações de Falha do Job-->	replyto_job@mailinator.com	2
40	lista_destinatarios_cc_job	<!--Emails que receberão as comunicações de Falha do Job-->	falhaJobCC1@mailinator.com|falhaJobCC2@mailinator.com|falhaJobCC3@mailinator.com	2
41	lista_destinatarios_bc_job	<!--Emails que receberão as comunicações de Falha do Job-->	falhaJobBC1@mailinator.com|falhaJobBC2@mailinator.com	2
42	user_email		michelle.rodrigues@sysmi.com.br	1
43	password		Alterar@2018	1
44	user_email		michelle.rodrigues@sysmi.com.br	2
45	Password		Alterar@2018	2
